date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
7/11/22,3,MAI,22,22,74,151,0.509,108,249,0.566,88,211,0.582,,,,,,,,,,,,
7/11/22,3,RII,22,22,407,745,0.453,367,690,0.468,333,617,0.46,,,,,,,,,,,,
7/11/22,3,RIM,22,22,223,451,0.505,249,403,0.382,320,588,0.455,,,,,,,,,,,,
7/11/22,3,NCL,22,22,49,80,0.387,42,97,0.567,218,566,0.614,,,,,,,,,,,,
7/11/22,3,RIJ,22,22,291,501,0.419,125,258,0.515,268,470,0.429,,,,,,,,,,,,
7/11/22,3,MAJ,22,22,194,391,0.503,169,286,0.409,125,245,0.489,,,,,,,,,,,,
7/11/22,3,MAL,22,22,170,444,0.617,205,582,0.647,77,180,0.572,,,,,,,,,,,,
7/11/22,3,MAK,22,22,249,356,0.3,28,113,0.752,219,314,0.302,,,,,,,,,,,,
7/11/22,3,RIH,22,22,172,354,0.514,257,625,0.588,278,541,0.486,,,,,,,,,,,,
7/11/22,3,NCI,22,22,268,704,0.619,191,531,0.64,233,695,0.664,,,,,,,,,,,,
7/11/22,3,NCM,22,22,215,592,0.636,243,690,0.647,175,471,0.628,,,,,,,,,,,,
7/11/22,3,MAN,22,22,102,218,0.532,151,408,0.629,80,189,0.576,,,,,,,,,,,,
7/19/22,4,NCF,18,18,220,560,0.607,212,539,0.606,192,516,0.627,,,,,,,,,,,,
7/19/22,4,NCG,18,18,221,586,0.622,212,591,0.641,202,575,0.648,,,,,,,,,,,,
